System ID,UPC,EAN,Custom SKU,Manufacturer SKU,Default Vendor ID,Description,Default Vendor,Item Type,Tax Class,Brand,Top Level Category,Default Cost,Price,Archived (Yes / No),Category,Quantity on Hand,Lifetime Quantity Sold,# of Sales
,8437023467305,8437023467305,,,,AMS GRAVEL/ROAD TOTAL CLEAR,Extra UK,,,All Mountain Style,,,60,,AMS FRAME GUARDS,,,
,755918299304,755918299304,,,,AMS FRAME GUARD BASIC BLACK,Extra UK,,,All Mountain Style,,,27,,AMS FRAME GUARDS,,,
,614458962829,614458962829,,,,AMS FRAME GUARD BASIC APE GREY,Extra UK,,,All Mountain Style,,,30,,AMS FRAME GUARDS,,,
,614458962669,614458962669,,,,AMS FRAME GUARD BASIC CHEETAH,Extra UK,,,All Mountain Style,,,29,,AMS FRAME GUARDS,,,
,755918299373,755918299373,,,,AMS FRAME GUARD BASIC CAMO GREY,Extra UK,,,All Mountain Style,,,30,,AMS FRAME GUARDS,,,
,755918299298,755918299298,,,,AMS FRAME GUARD BASIC CLEAR,Extra UK,,,All Mountain Style,,,27,,AMS FRAME GUARDS,,,
,797822098215,797822098215,,,,AMS FRAME GUARD BASIC WOLF GREY,Extra UK,,,All Mountain Style,,,30,,AMS FRAME GUARDS,,,
,614458962676,614458962676,,,,AMS FRAME GUARD BASIC ZEBRA,Extra UK,,,All Mountain Style,,,30,,AMS FRAME GUARDS,,,
,797822098840,797822098840,,,,AMS FRAME GUARD BASIC APE WHITE,Extra UK,,,All Mountain Style,,,30,,AMS FRAME GUARDS,,,
,040361015534,040361015534,,,,AMS FRAME GUARD BASIC CAMO WHITE,Extra UK,,,All Mountain Style,,,30,,AMS FRAME GUARDS,,,
,797822098857,797822098857,,,,AMS FRAME GUARD BASIC WOLF WHITE,Extra UK,,,All Mountain Style,,,30,,AMS FRAME GUARDS,,,
,040361015541,040361015541,,,,AMS FRAME GUARD EXTRA BULL BLACK,Extra UK,,,All Mountain Style,,,37,,AMS FRAME GUARDS,,,
,040361015558,040361015558,,,,AMS FRAME GUARD EXTRA DEVIL BLACK,Extra UK,,,All Mountain Style,,,37,,AMS FRAME GUARDS,,,
,040361015497,040361015497,,,,AMS FRAME GUARD EXTRA PITBULL BLACK,Extra UK,,,All Mountain Style,,,37,,AMS FRAME GUARDS,,,
,755918299328,755918299328,,,,AMS FRAME GUARD EXTRA BLACK,Extra UK,,,All Mountain Style,,,37,,AMS FRAME GUARDS,,,
,8437023467015,8437023467015,,,,AMS FRAME GUARD EXTRA - BORN TO BE RIDER BLUE,Extra UK,,,All Mountain Style,,,37,,AMS FRAME GUARDS,,,
,8437021969566,8437021969566,,,,AMS FRAME GUARD EXTRA CHEETAH WHITE,Extra UK,,,All Mountain Style,,,37,,AMS FRAME GUARDS,,,
,040361015091,040361015091,,,,AMS FRAME GUARD EXTRA BEAR GREY,Extra UK,,,All Mountain Style,,,37,,AMS FRAME GUARDS,,,
,614458962843,614458962843,,,,AMS FRAME GUARD EXTRA CHEETAH GREY,Extra UK,,,All Mountain Style,,,37,,AMS FRAME GUARDS,,,
,614458962683,614458962683,,,,AMS FRAME GUARD EXTRA CAMO GREY,Extra UK,,,All Mountain Style,,,37,,AMS FRAME GUARDS,,,
,797822098796,797822098796,,,,AMS FRAME GUARD EXTRA MAORI BLACK,Extra UK,,,All Mountain Style,,,37,,AMS FRAME GUARDS,,,
,755918299311,755918299311,,,,AMS FRAME GUARD EXTRA CLEAR,Extra UK,,,All Mountain Style,,,37,,AMS FRAME GUARDS,,,
,040361015084,040361015084,,,,AMS FRAME GUARD EXTRA TIGER GREY,Extra UK,,,All Mountain Style,,,37,,AMS FRAME GUARDS,,,
,797822098222,797822098222,,,,AMS FRAME GUARD EXTRA WOLF GREY,Extra UK,,,All Mountain Style,,,37,,AMS FRAME GUARDS,,,
