Account,Brand,Category,Category_Path,Stock_Code,Description,Barcode_1,Barcode_2,Assorted,Currency,SRP,Your_Price,Each_2,Qty_2,Each_3,Qty_3,Each_4,Qty_4,Supplier
040361015497,Y,GBP,37.00,20.04,1,18.50,5,16.96,10,,,,,,,,,Ison
,Y,GBP,42.00,22.75,1,21.00,5,19.25,10,,,,,,,,,Ison
,Y,GBP,42.00,22.75,1,21.00,5,19.25,10,,,,,,,,,Ison
,Y,GBP,42.00,22.75,1,21.00,5,19.25,10,,,,,,,,,Ison
,Y,GBP,42.00,22.75,1,21.00,5,19.25,10,,,,,,,,,Ison
,Y,GBP,42.00,22.75,1,21.00,5,19.25,10,,,,,,,,,Ison
,Y,GBP,42.00,22.75,1,21.00,5,19.25,10,,,,,,,,,Ison
614458962690,Y,GBP,37.00,20.04,1,18.50,5,16.96,10,,,,,,,,,Ison
040361015343,Y,GBP,40.00,21.66,1,20.00,5,18.33,10,,,,,,,,,Ison
040361015619,Y,GBP,37.00,20.04,1,18.50,5,16.96,10,,,,,,,,,Ison
,Y,GBP,37.00,20.04,1,18.50,5,16.96,10,,,,,,,,,Ison
,Y,GBP,37.00,20.04,1,18.50,5,16.96,10,,,,,,,,,Ison
040361015084,Y,GBP,40.00,21.66,1,20.00,5,18.33,10,,,,,,,,,Ison
,Y,GBP,40.00,21.66,1,20.00,5,18.33,10,,,,,,,,,Ison
,Y,GBP,37.00,20.04,1,18.50,5,16.96,10,,,,,,,,,Ison
,Y,GBP,40.00,21.66,1,20.00,5,18.33,10,,,,,,,,,Ison
,Y,GBP,40.00,21.66,1,20.00,5,18.33,10,,,,,,,,,Ison
797822098222,Y,GBP,40.00,21.66,1,20.00,5,18.33,10,,,,,,,,,Ison
797822098833,Y,GBP,37.00,20.04,1,18.50,5,16.96,10,,,,,,,,,Ison
,Y,GBP,40.00,21.66,1,20.00,5,18.33,10,,,,,,,,,Ison
040361015206,Y,GBP,65.00,35.21,1,32.50,5,29.79,10,,,,,,,,,Ison
797822098765,Y,GBP,62.00,33.59,1,31.00,5,28.42,10,,,,,,,,,Ison
,Y,GBP,65.00,35.21,1,32.50,5,29.79,10,,,,,,,,,Ison
,Y,GBP,65.00,35.21,1,32.50,5,29.79,10,,,,,,,,,Ison
,Y,GBP,62.00,33.59,1,31.00,5,28.42,10,,,,,,,,,Ison
,Y,GBP,43.00,23.29,1,21.50,5,19.71,10,,,,,,,,,Ison
,Y,GBP,43.00,23.29,1,21.50,5,19.71,10,,,,,,,,,Ison
040361015510,Y,GBP,45.00,24.37,1,22.50,5,20.62,10,,,,,,,,,Ison
,Y,GBP,45.00,24.37,1,22.50,5,20.62,10,,,,,,,,,Ison
,Y,GBP,43.00,23.29,1,21.50,5,19.71,10,,,,,,,,,Ison
