System ID,UPC,EAN,Custom SKU,Manufacturer SKU,Default Vendor ID,Description,Default Vendor,Item Type,Tax Class,Brand,Top Level Category,Default Cost,Price,Archived (Yes / No),Category,Quantity on Hand,Lifetime Quantity Sold,# of Sales
,4710944250367,4710944250367,,,,,Ison,,,SunRace,,11.11,19.99,,Gears,,,
,4710944247145,4710944247145,,,,,Ison,,,SunRace,,2.75,5.5,,Gears,,,
,4710944242188,4710944242188,,,,,Ison,,,SunRace,,11,21.99,,Hubs & Cassettes,,,
,4710944226485,4710944226485,,,,,Ison,,,SunRace,,7.5,14.99,,Hubs & Cassettes,,,
,4710944227482,4710944227482,,,,,Ison,,,SunRace,,18.75,37.5,,Hubs & Cassettes,,,
