SKU,StyleCode,Name,UPC,SRP,Colour,Size,BoxQuantity,ProductCategory,Brand,GoldPrice,Currency,Supplier
FELUBE50,FELUBE50,Fenwick's Multi Purpose Lubricant 500ml:  ,5.06001E+12,8.99,NO COLOUR,NO SIZE,1 box = 10 units,Lubes & Grease,Fenwick's,37.46,GBP,Zyrofisher (Box)
FESILC20,FESILC20,Fenwick's Suspension Lube Spray 200ml:  ,5.06001E+12,5.99,NO COLOUR,NO SIZE,1 box = 10 units,Lubes & Grease,Fenwick's,24.96,GBP,Zyrofisher (Box)
MH41010410000000,MH41010410000000,MAHLE X30/X20 SRAM DUB Adapter Set (3 Pieces):  ,4.10104E+13,1.99,NO COLOUR,NO SIZE,1 pack = 3 units,COMPONENT,MAHLE,1.35,GBP,Zyrofisher (Box)
PILEWASHSA,PILEWASHSA,Pitlock Level Washer Pair Stainless Steel (1 Pack With Two Pairs):  ,4.26038E+12,8.99,NO COLOUR,NO SIZE,1 pack = 12 units,Locks,Pitlock,5.24,GBP,Zyrofisher (Box)
PISPRWASH,PISPRWASH,Pitlock Spring Washer Consumable Part M5 Systems (5 Pcs.):  ,4.26038E+12,9.99,NO COLOUR,NO SIZE,1 pack = 5 units,Locks,Pitlock,5.83,GBP,Zyrofisher (Box)
PITEFWASH,PITEFWASH,Pitlock Teflon Ring Consumable Part M5/M6 Systems (5 Pcs.): SILVER ,4.26038E+12,9.99,SILVER,NO SIZE,1 pack = 5 units,Locks,Pitlock,5.83,GBP,Zyrofisher (Box)
PITEFWASHSA,PITEFWASHS,Pitlock Teflon Ring 1 Pack With Two Pieces For Solid Axles:  ,4.26038E+12,9.99,NO COLOUR,NO SIZE,1 pack = 12 units,Locks,Pitlock,5.83,GBP,Zyrofisher (Box)
RB0375,RB0375,Red Bull Energy Single Can 250ml (24 Pack):  250ML,9.00249E+12,1.75,NO COLOUR,250ML,1 box = 24 units,Energy & Recovery Food & Drink,Red Bull,26.5,GBP,Zyrofisher (Box)
RB246689,RB246689,Red Bull Zero Single Can 250ml (24 Pack): BLUE 250ML,9.00249E+12,1.75,BLUE,250ML,1 box = 24 units,Energy & Recovery Food & Drink,Red Bull,25.02,GBP,Zyrofisher (Box)
RB246711,RB246711,Red Bull Winter 2025 Fuji Apple and Ginger 250ml (12 Pack) 2025: RED/YELLOW 250ML,9.00249E+12,1.75,RED/YELLOW,250ML,1 box = 12 units,Energy & Recovery Food & Drink,Red Bull,13.26,GBP,Zyrofisher (Box)
